Yr,Seas,FltSvy,Gender,Part,Nsamp,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17
2017,-1,2,0,0,90,0,18,22,20,12,14,16,23,22,37,36,27,14,2,1,0,0
2018,1,-2,0,0,39,0,17,5,10,2,3,6,12,14,19,19,13,7,1,1,0,0
2019,-1,-2,0,0,36,0,1,17,10,2,7,2,7,6,14,13,11,5,1,0,0,0
2020,-1,2,0,0,52,12,52,9,6,21,33,10,25,29,35,26,26,14,5,2,0,0
2021,-1,-2,0,0,11,0,0,2,1,1,0,2,14,16,0,0,5,4,2,0,0,0
2022,-1,2,0,0,89,10,29,48,41,27,19,54,49,40,35,37,33,17,8,2,1,1
2023,-1,-2,0,0,58,10,29,42,25,19,12,43,30,25,24,22,19,12,6,1,1,1
2017,-1,4,0,0,71,0,1,16,32,18,25,37,85,33,18,17,13,2,3,2,0,0
2018,-1,-4,0,0,32,0,0,6,17,4,2,16,25,19,15,12,7,0,0,0,0,0
2019,-1,4,0,0,54,0,0,2,17,10,11,32,22,13,8,8,7,0,1,1,0,0
2020,1,-4,0,0,17,0,0,0,5,2,5,6,4,5,8,2,2,0,0,0,0,0
2021,-1,-4,0,0,23,0,0,2,12,5,5,21,13,4,0,5,4,0,0,0,0,0
2022,-1,4,0,0,76,0,1,6,35,59,61,35,18,15,8,2,7,4,1,0,0,0
2023,-1,-4,0,0,20,0,0,4,15,37,18,14,5,4,1,0,0,1,0,0,0,0
